year,region,state,gender,mode_of_trans,count
2015,Midwest,Indiana,female,taxicab_or_other,10450
2015,Midwest,Iowa,female,drove_alone,607960
2015,Midwest,Iowa,female,carpooled,61915
2015,Midwest,Iowa,female,public_transportation,10418
2015,Midwest,Iowa,female,bicycle,2001
2015,Midwest,Iowa,female,walked,24928
2015,Midwest,Iowa,female,taxicab_or_other,5328
2015,Midwest,Kansas,female,drove_alone,539839
2015,Midwest,Kansas,female,carpooled,61051
2015,Midwest,Kansas,female,public_transportation,4902
2015,Midwest,Kansas,female,bicycle,826
2015,Midwest,Kansas,female,walked,13905
2015,Midwest,Kansas,female,taxicab_or_other,5450
2015,Southeast,Kentucky,female,drove_alone,744909
2015,Southeast,Kentucky,female,carpooled,80721
2015,Southeast,Kentucky,female,public_transportation,10642
2015,Southeast,Kentucky,female,bicycle,1249
2015,Southeast,Kentucky,female,walked,20146
2015,Southeast,Kentucky,female,taxicab_or_other,9474
2015,Southeast,Louisiana,female,drove_alone,812517
2015,Southeast,Louisiana,female,carpooled,85346
2015,Southeast,Louisiana,female,public_transportation,14860
2015,Southeast,Louisiana,female,bicycle,3254
2015,Southeast,Louisiana,female,walked,16765
2015,Southeast,Louisiana,female,taxicab_or_other,8434
2015,Northeast,Maine,female,drove_alone,253060
2015,Northeast,Maine,female,carpooled,24608
2015,Northeast,Maine,female,public_transportation,1966
2015,Northeast,Maine,female,bicycle,763
2015,Northeast,Maine,female,walked,10837
2015,Northeast,Maine,female,taxicab_or_other,2531
2015,Northeast,Maryland,female,drove_alone,1073691
2015,Northeast,Maryland,female,carpooled,125663
2015,Northeast,Maryland,female,public_transportation,142106
2015,Northeast,Maryland,female,bicycle,2649
2015,Northeast,Maryland,female,walked,34238
2015,Northeast,Maryland,female,taxicab_or_other,14249
2015,Northeast,Massachusetts,female,drove_alone,1178840
2015,Northeast,Massachusetts,female,carpooled,128862
2015,Northeast,Massachusetts,female,public_transportation,185427
2015,Northeast,Massachusetts,female,bicycle,9263
2015,Northeast,Massachusetts,female,walked,92025
2015,Northeast,Massachusetts,female,taxicab_or_other,19408
2015,Midwest,Michigan,female,drove_alone,1749199
2015,Midwest,Michigan,female,carpooled,178472
2015,Midwest,Michigan,female,public_transportation,28619
2015,Midwest,Michigan,female,bicycle,5868
2015,Midwest,Michigan,female,walked,48217
2015,Midwest,Michigan,female,taxicab_or_other,14305
2015,Midwest,Minnesota,female,drove_alone,1066038
2015,Midwest,Minnesota,female,carpooled,116641
2015,Midwest,Minnesota,female,public_transportation,55668
2015,Midwest,Minnesota,female,bicycle,8699
2015,Midwest,Minnesota,female,walked,36752
2015,Midwest,Minnesota,female,taxicab_or_other,8699
2015,Southeast,Mississippi,female,drove_alone,492467
2015,Southeast,Mississippi,female,carpooled,53009
2015,Southeast,Mississippi,female,public_transportation,2263
2015,Southeast,Mississippi,female,bicycle,999
2015,Southeast,Mississippi,female,walked,6388
2015,Southeast,Mississippi,female,taxicab_or_other,6210
2015,Midwest,Missouri,female,drove_alone,1128330
2015,Midwest,Missouri,female,carpooled,118196
2015,Midwest,Missouri,female,public_transportation,23065
2015,Midwest,Missouri,female,bicycle,1738
2015,Midwest,Missouri,female,walked,23364
2015,Midwest,Missouri,female,taxicab_or_other,11060
2015,West,Montana,female,drove_alone,171837
2015,West,Montana,female,carpooled,23115
2015,West,Montana,female,public_transportation,1965
2015,West,Montana,female,bicycle,2784
2015,West,Montana,female,walked,11086
2015,West,Montana,female,taxicab_or_other,1527
2015,Midwest,Nebraska,female,drove_alone,375389
2015,Midwest,Nebraska,female,carpooled,42252
2015,Midwest,Nebraska,female,public_transportation,3671
2015,Midwest,Nebraska,female,bicycle,872
2015,Midwest,Nebraska,female,walked,13405
2015,Midwest,Nebraska,female,taxicab_or_other,3913
2015,West,Nevada,female,drove_alone,468881
2015,West,Nevada,female,carpooled,66156
